kc_id,kc_name,kc_name_es,route_group,route_group_es,route_leaf,route_leaf_es,n_total,accuracy_total,n_first,n_repeat,accuracy_first,accuracy_repeat,delta_repeat_minus_first
18,长方形和正方形面积公式,Fórmulas de área para rectángulos y cuadrados.,拓展思维,Expande tu pensamiento,长方形和正方形面积公式,Fórmulas de área para rectángulos y cuadrados.,35960,0.832425,30776,5184,0.833247,0.827546,-0.0057
78,二量容斥,Dos cantidades de tolerancia y rechazo.,拓展思维,Expande tu pensamiento,二量容斥,Dos cantidades de tolerancia y rechazo.,32928,0.812956,32343,585,0.81319,0.8,-0.01319
55,基本排列的周期问题,Problema básico del período de permutación,拓展思维,Expande tu pensamiento,基本排列的周期问题,Problema básico del período de permutación,28791,0.805182,25295,3496,0.80929,0.775458,-0.033833
155,树形图,diagrama de arbol,拓展思维,Expande tu pensamiento,树形图,diagrama de arbol,24321,0.722955,24321,0,0.722955,,
24,整数乘法巧算之提取公因数（普通型）,Extracción de factores comunes para la multiplicación de números enteros (tipo ordinario),拓展思维,Expande tu pensamiento,整数乘法巧算之提取公因数（普通型）,Extracción de factores comunes para la multiplicación de números enteros (tipo ordinario),24094,0.874243,23418,676,0.874712,0.857988,-0.016724
138,最短路线,ruta más corta,拓展思维,Expande tu pensamiento,最短路线,ruta más corta,21734,0.780114,21720,14,0.780018,0.928571,0.148553
208,盈亏基本类型盈亏问题,Tipos básicos de pérdidas y ganancias Problemas de pérdidas y ganancias,拓展思维,Expande tu pensamiento,盈亏基本类型盈亏问题,Tipos básicos de problemas de exceso y déficit,21296,0.794421,20673,623,0.795966,0.743178,-0.052788
257,实心方阵基本问题,Preguntas básicas sobre matriz cuadrada sólida,知识点,Puntos de conocimiento,实心方阵基本问题,Preguntas básicas sobre matriz cuadrada sólida,21141,0.772102,21014,127,0.774531,0.370079,-0.404453
57,日期中的周期,período en la fecha,拓展思维,Expande tu pensamiento,日期中的周期,período en la fecha,20548,0.752093,18609,1939,0.750981,0.762764,0.011784
166,两量和倍,Dos cantidades y tiempos,拓展思维,Expande tu pensamiento,两量和倍,Dos cantidades y tiempos,20150,0.794888,15834,4316,0.798345,0.782206,-0.01614
73,运算求解,solución aritmética,七大能力,Siete habilidades,运算求解,solución aritmética,19379,0.832809,10250,9129,0.808098,0.860554,0.052457
34,整数好朋友数,Número entero de buenos amigos,拓展思维,Expande tu pensamiento,整数好朋友数,Número entero de buenos amigos,17728,0.830776,17348,380,0.831047,0.818421,-0.012626
56,单一变量还原问题,problema de reducción de una sola variable,拓展思维,Expande tu pensamiento,单一变量还原问题,problema de reducción de una sola variable,16868,0.801873,16868,0,0.801873,,
32,等差数列求通项,Hallar el término general de una progresión aritmética,拓展思维,Expande tu pensamiento,等差数列求通项,Encontrar el término general de una secuencia aritmética,15916,0.80328,14946,970,0.801418,0.831959,0.03054
33,等差数列求和,Suma de secuencia aritmética,拓展思维,Expande tu pensamiento,等差数列求和,Suma de secuencia aritmética,14972,0.785934,14570,402,0.786136,0.778607,-0.007529
81,原型题,pregunta prototipo,拓展思维,Expande tu pensamiento,原型题,pregunta prototipo,14537,0.81296,14351,186,0.812975,0.811828,-0.001147
266,除法中四量关系,Relación entre cuatro cantidades en división,拓展思维,Expande tu pensamiento,除法中四量关系,Relación entre cuatro cantidades en división,13516,0.837008,12881,635,0.84318,0.711811,-0.131369
180,暗差型二量差倍问题,Problema de diferencia de dos cantidades del tipo diferencia oscura,拓展思维,Expande tu pensamiento,暗差型二量差倍问题,Problema de diferencia de dos cantidades del tipo diferencia oscura,12556,0.787671,8577,3979,0.745715,0.87811,0.132395
183,奇数阶幻方填法,Método de llenado de cuadrados mágicos de orden impar,拓展思维,Expande tu pensamiento,奇数阶幻方填法,Método de llenado de cuadrados mágicos de orden impar,12527,0.785663,12526,1,0.785646,1.0,0.214354
